sequence,layer,spearman_rho,bw_ratio,centroid_tau,knn_xperiod,ridge_r2,n_dim_90
country_name,0,,0.0,,0.6666666666666666,0.0,1
country_name,1,-0.29561485615025124,0.25497584112067256,-0.33333333333333337,0.8333333333333334,0.0,5
country_name,2,0.14780742807512562,0.2049279917305018,-0.33333333333333337,0.6666666666666666,0.0,4
country_name,3,0.14780742807512562,0.18875273860021288,-0.33333333333333337,0.6666666666666666,0.0,4
country_name,4,-0.05912297123005026,0.2854085620218188,0.33333333333333337,0.9166666666666666,0.0,5
country_name,5,0.2069303993051759,0.33182971140687806,0.33333333333333337,1.0,0.0,5
country_name,6,-0.23649188492020104,0.26331903429210374,0.33333333333333337,1.0,0.0,5
country_name,7,0.35468823797244337,0.14344560822462188,0.33333333333333337,0.9166666666666666,0.0,5
country_name,8,-0.325085446909059,0.1409248707928051,0.33333333333333337,0.8333333333333334,0.0,5
country_name,9,0.02956148561502513,0.130129109376931,0.33333333333333337,0.9166666666666666,0.0,5
country_name,10,0.05912297123005026,0.13260145738805693,0.33333333333333337,1.0,0.0,5
country_name,11,-0.029557353164370283,0.160780636380029,0.33333333333333337,1.0,0.0,5
country_name,12,0.11822941265748113,0.2381571886398972,0.33333333333333337,0.9166666666666666,0.0,5
state_religion,0,,0.0,,0.5,0.0,1
state_religion,1,-0.2414705970906714,0.24773283989022174,-0.3651483716701107,0.0,0.0,4
state_religion,2,0.19756685216509481,0.242473959505906,-0.3651483716701107,0.0,0.0,4
state_religion,3,-0.2414705970906714,0.21828052350934787,-0.3651483716701107,0.0,0.0,4
state_religion,4,0.24634879097129103,0.25544430449512684,-0.3651483716701107,0.0,0.0,5
state_religion,5,0.19756685216509481,0.24414969688532268,-0.3651483716701107,0.0,0.0,5
state_religion,6,-0.19268865828447515,0.20556627443667286,-0.3651483716701107,0.0,0.0,5
state_religion,7,0.19268865828447515,0.15613542964950705,-0.3651483716701107,0.0,0.0,5
state_religion,8,-0.09512478067208269,0.13560913628848265,-0.3651483716701107,0.0,0.0,5
state_religion,9,0.09512478067208269,0.11089932122981615,-0.3651483716701107,0.0,0.0,4
state_religion,10,0.1000029745527023,0.11553300578652087,-0.3651483716701107,0.0,0.0,4
state_religion,11,-0.04634284186588643,0.11772944387728018,-0.3651483716701107,0.0,0.0,4
state_religion,12,0.05364577289903273,0.1690971740114812,-0.3651483716701107,0.0,0.0,4
form_of_government,0,,0.0,,0.6666666666666666,0.0,1
form_of_government,1,-0.0059511159686343575,0.13700311948075694,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,2,-0.0059511159686343575,0.20406326303486313,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,3,0.011894651701745161,0.22941761848166012,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,4,-0.0059511159686343575,0.477519124864823,-0.816496580927726,0.3333333333333333,0.0,5
form_of_government,5,-0.0059511159686343575,0.4483492797254338,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,6,0.0,0.3780205451014099,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,7,0.0059511159686343575,0.24718500244066596,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,8,-0.0059435429653944055,0.2089290190103419,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,9,0.0,0.16407025019163549,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,10,0.011894651701745161,0.16028039570383248,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,11,0.0,0.15014162205531958,-0.816496580927726,0.3333333333333333,0.0,4
form_of_government,12,0.017830628896183216,0.19581540870063255,-0.816496580927726,0.3333333333333333,0.0,5
ruling_dynasty,0,,0.0,,0.2857142857142857,-27.294474212496077,1
ruling_dynasty,1,-0.10832109482876527,0.32047468095624304,0.1766114815127876,0.17857142857142858,-6.107238634412289,5
ruling_dynasty,2,-0.039791422590158665,0.3445327690803885,0.27207714719537546,0.2857142857142857,-8.000124748270508,5
ruling_dynasty,3,-0.0641084030619223,0.32549930045904696,0.1766114815127876,0.2857142857142857,-8.60314403117736,5
ruling_dynasty,4,0.512861610400412,1.1058906710577898,0.3675428128779634,0.5357142857142857,-9.318951292894772,9
ruling_dynasty,5,-0.2719050779278046,0.9565633597690377,0.4534619119922925,0.5714285714285714,-12.765962467652034,9
ruling_dynasty,6,-0.11052930958832012,0.6913287632683469,0.41527564571925735,0.5,-9.039102227173704,9
ruling_dynasty,7,-0.015474103342364818,0.357763769702781,0.2625305806271167,0.4642857142857143,-9.880300286821164,8
ruling_dynasty,8,0.07073953246902234,0.3178341622835206,0.23389088092234034,0.5357142857142857,-10.513479629771737,8
ruling_dynasty,9,-0.03536976623451117,0.25164088473424495,0.24343744749059915,0.39285714285714285,-8.941566710324988,7
ruling_dynasty,10,0.08842538353368593,0.22801994989622665,0.23389088092234034,0.42857142857142855,-10.884647349484084,8
ruling_dynasty,11,-0.03537015341347437,0.2282639823950255,0.28162371376363426,0.42857142857142855,-9.976190609029794,9
ruling_dynasty,12,0.03094888423679007,0.31904107198163517,0.31980998003666944,0.5357142857142857,-12.201852759235544,10
calendar,0,,0.0,,1.0,0.0,1
calendar,1,0.2181140511198411,0.04122948535769359,,1.0,0.0,3
calendar,2,0.2179068168202045,0.1504817789222148,,1.0,0.0,4
calendar,3,0.3268602252303067,0.14467093940710085,,1.0,0.0,4
calendar,4,0.32717107667976164,0.2022310857910753,,1.0,0.0,4
calendar,5,-0.32701554014771056,0.16864020505093869,,1.0,0.0,4
calendar,6,-0.2182178902359924,0.14129985736871123,,1.0,0.0,4
calendar,7,-0.2180103600984737,0.0918791578127484,,1.0,0.0,4
calendar,8,-0.32717107667976164,0.07953214490135703,,1.0,0.0,4
calendar,9,0.0,0.07529305336539757,,1.0,0.0,4
calendar,10,0.0,0.0580106361166307,,1.0,0.0,4
calendar,11,0.0,0.05430831962100069,,1.0,0.0,4
calendar,12,0.10905702555992056,0.05227718879873475,,1.0,0.0,4
primary_weapon,0,,0.0,,0.5,0.0,1
primary_weapon,1,0.20614315556953647,1.1111414417255463,-0.4666666666666666,0.25,0.0,5
primary_weapon,2,-0.02424928359581024,0.5520825089546032,-0.4666666666666666,0.25,0.0,5
primary_weapon,3,-0.012125354823387105,0.4787415274675777,-0.4666666666666666,0.25,0.0,5
primary_weapon,4,0.6789799406826869,1.0382672697180857,0.4666666666666666,0.5,0.0,6
primary_weapon,5,-0.01212464179790512,0.782434520467811,-0.06666666666666665,0.4375,0.0,6
primary_weapon,6,0.02425070964677421,0.4805555433642598,-0.2,0.4375,0.0,6
primary_weapon,7,0.012126067974678613,0.18697763081559882,-0.2,0.5,0.0,5
primary_weapon,8,0.0,0.14492336829354835,-0.3333333333333333,0.5,0.0,5
primary_weapon,9,0.0,0.12149376093559845,-0.06666666666666665,0.5,0.0,5
primary_weapon,10,0.03637606447016131,0.11065116190787747,-0.06666666666666665,0.5625,0.0,5
primary_weapon,11,-0.012125354823387105,0.11360299339869442,0.06666666666666665,0.5625,0.0,5
primary_weapon,12,0.13338674772146475,0.18082410923965542,0.2,0.625,0.0,6
ship_construction,0,,0.0,,0.6666666666666666,0.0,1
ship_construction,1,-0.11824594246010052,0.21531081119262305,1.0,0.9166666666666666,0.0,4
ship_construction,2,0.08868445684507538,0.1871073404972485,-0.33333333333333337,0.6666666666666666,0.0,4
ship_construction,3,0.14778676582185138,0.1726329205038776,0.33333333333333337,0.8333333333333334,0.0,4
ship_construction,4,0.11822941265748113,0.2174407268066123,1.0,0.8333333333333334,0.0,5
ship_construction,5,-0.14778676582185138,0.35499966165151847,0.33333333333333337,0.6666666666666666,0.0,5
ship_construction,6,0.3547378273803015,0.29022214260136514,1.0,0.6666666666666666,0.0,5
ship_construction,7,0.29561485615025124,0.19341872605684735,1.0,0.8333333333333334,0.0,5
ship_construction,8,-0.3842455911368136,0.19332842645589032,1.0,0.9166666666666666,0.0,5
ship_construction,9,-0.29557353164370276,0.1666206510818147,1.0,0.9166666666666666,0.0,5
ship_construction,10,-0.35468823797244337,0.1527574709242557,1.0,0.9166666666666666,0.0,5
ship_construction,11,-0.3251308848080731,0.18032314093036217,1.0,0.8333333333333334,0.0,5
ship_construction,12,-0.29561485615025124,0.19325508160961896,0.33333333333333337,0.9166666666666666,0.0,6
primary_fuel,0,,0.0,,0.6666666666666666,0.0,1
primary_fuel,1,-0.08868445684507538,0.4244078781696645,1.0,1.0,0.0,4
primary_fuel,2,0.2069303993051759,0.32569232747989124,1.0,1.0,0.0,4
primary_fuel,3,0.2069593385961789,0.33238964835565676,1.0,0.9166666666666666,0.0,5
primary_fuel,4,0.3842455911368136,0.3536721432063994,1.0,1.0,0.0,5
primary_fuel,5,-0.17736891369015076,0.31895711430821355,1.0,0.9166666666666666,0.0,5
primary_fuel,6,-0.32517634176527643,0.2627049597633542,1.0,0.9166666666666666,0.0,5
primary_fuel,7,-0.20687255712394662,0.1374454325030091,1.0,0.9166666666666666,0.0,4
primary_fuel,8,-0.32517634176527643,0.16106288976109417,1.0,1.0,0.0,4
primary_fuel,9,0.20687255712394662,0.11618275959501038,1.0,1.0,0.0,4
primary_fuel,10,-0.11821288978511235,0.13535304741864934,1.0,0.9166666666666666,0.0,4
primary_fuel,11,-0.08868445684507538,0.17447266277398643,1.0,0.9166666666666666,0.0,5
primary_fuel,12,0.29557353164370276,0.2426957647864617,1.0,0.9166666666666666,0.0,5
