layer,r2_ridge,r2_knn,pc1_var,pc2_var,cum_var_3pc,n_dims_90pct,spearman_rho,spearman_p,nn_coherence
1,-13.054830591252193,-17.326349206349203,0.437967449426651,0.10505456477403641,0.6211188435554504,11,-0.418020022246941,0.02152232702861362,0.48666666666666664
2,-7.474076943485533,-12.13015873015873,0.4052039086818695,0.11568468809127808,0.6028088927268982,11,-0.639154616240267,0.000143565862464254,0.5800000000000001
3,-8.583660407271521,-13.836825396825398,0.35497036576271057,0.1308870017528534,0.5767190456390381,11,0.6907675194660734,2.3857321385187013e-05,0.5933333333333334
4,-6.5129594056600855,-13.608253968253967,0.32057973742485046,0.17181935906410217,0.6098847389221191,11,-0.7730812013348164,5.512688305741353e-07,0.5933333333333335
5,-2.840338570278168,-9.72126984126984,0.2801973521709442,0.13865059614181519,0.5275927186012268,11,-0.9225806451612902,4.219482897599777e-13,0.6600000000000003
6,-3.271918411903654,-10.156825396825393,0.2730466425418854,0.13713033497333527,0.5110177993774414,11,-0.9101223581757508,3.1507260466675017e-12,0.6400000000000002
7,-3.6823536817468914,-11.026666666666667,0.27288100123405457,0.17357631027698517,0.5363284349441528,11,-0.9114571746384873,2.5768849814093026e-12,0.6266666666666668
8,-2.9451785616253447,-12.862857142857143,0.27390849590301514,0.18706059455871582,0.5431957244873047,11,-0.9145717463848719,1.5918482615522709e-12,0.6133333333333335
9,-2.589087035424641,-9.902857142857146,0.2917638123035431,0.18783456087112427,0.5775127410888672,11,-0.9399332591768631,1.3470660963756288e-14,0.6466666666666667
10,-2.910939119942256,-9.744126984126982,0.32265737652778625,0.1853235810995102,0.5890888571739197,11,0.9781979977753059,1.1752578371893254e-20,0.66
11,-1.412844960493088,-8.281269841269841,0.38537561893463135,0.16488204896450043,0.6467527747154236,11,0.9839822024471635,1.625515282169543e-22,0.7200000000000001
12,-5.256829361663546,-9.88,0.32462674379348755,0.155425027012825,0.5996502637863159,11,0.9608453837597329,3.8353322003942843e-17,0.7400000000000001
