layer,intercept,coef_norm,years_per_unit_lam,angle_from_vocab_deg,residual_norm,r2,alpha
1,1656.5167671610184,9064.130431540674,9064.130431540674,0.0,1.0,0.786834946122156,0.026366508987303583
2,1656.516767161202,3543.8442862693473,3543.8442862693473,83.29983503581286,0.9931703136196918,0.7983000058755362,0.23357214690901212
3,1656.5167671612476,3101.219723122865,3101.219723122865,81.82014056135417,0.9898263065512383,0.8072036257450552,0.23357214690901212
4,1656.5167671612526,1506.8176923791002,1506.8176923791002,89.45892418303124,0.9999554099704997,0.8126818831787802,2.069138081114788
5,1656.5167671612714,1024.0955710617036,1024.0955710617036,88.14290790183983,0.9994747650678633,0.8142005680312652,2.069138081114788
6,1656.5167671612612,700.3506887974651,700.3506887974651,87.3678500350832,0.9989449583204577,0.8131688276109422,6.158482110660261
7,1656.5167671612182,461.4649683589862,461.4649683589862,85.9052598990113,0.9974473423760064,0.8065853556846712,18.32980710832434
8,1656.5167671611694,449.14040444532304,449.14040444532304,88.54015418709604,0.9996754248834483,0.8005896719070604,18.32980710832434
9,1656.5167671611432,402.8765354173583,402.8765354173583,87.01722982220181,0.9986452279193055,0.7995827746458409,18.32980710832434
10,1656.5167671612069,314.8424513267754,314.8424513267754,88.19848168899958,0.9995057276445648,0.8022019911431018,54.555947811685144
11,1656.5167671611625,294.2953177046575,294.2953177046575,85.85183704776,0.9973803296348622,0.8074519854997173,54.555947811685144
12,1656.5167671612069,384.8301063496096,384.8301063496096,87.92600782551028,0.999344924216977,0.8081079951552904,18.32980710832434
