regression_type,beta,se_hc3,t_stat,p_value,n,n_idioms,r2,model,note
all_treatment,-0.02327893095912399,0.0024020038096041413,-9.691462963566423,3.277991208981889e-22,2183,16,0.07020316741486332,bert,no FE | all_treatment
well_covered,-0.034652614366476944,0.0019883109311967066,-17.42816670309233,5.0437223506728674e-68,1941,7,0.1437535409335945,bert,no FE | well_covered
farthing_only,-0.007878116052083677,0.009805639636913485,-0.803427042375327,0.4217279499591522,885,3,0.0007262603709206061,bert,no FE | farthing_only
farthing_idiom_fe,-0.010035028435512721,0.0022701683406976883,-4.420389561255473,9.852312792150687e-06,885,3,0.9357032556750781,bert,idiom FE | farthing_idiom_fe
well_covered_idiom_fe,-0.004190596754760407,0.001313037303603649,-3.19152909308765,0.0014152185758709006,1941,7,0.909029653527281,bert,idiom FE | well_covered_idiom_fe
placebo_penny_logrv,-0.0053281910530017604,0.00252607725784699,-2.109274780274555,0.03492087036985808,2103,10,0.002139845842363375,bert,"placebo idioms, penny log_rv assigned"
all_treatment,-0.0026234043755773723,0.0011079764593440525,-2.367743785035368,0.017896924997695764,2183,16,0.0028578048375197396,bge,no FE | all_treatment
well_covered,-0.005292660466255324,0.0012298927758018006,-4.303351129780313,1.6823390461225227e-05,1941,7,0.010000707360401151,bge,no FE | well_covered
farthing_only,-0.01095563366719651,0.005227535618383367,-2.095754953571139,0.03610393423367032,885,3,0.0061233062012838735,bge,no FE | farthing_only
farthing_idiom_fe,-0.011506544467894644,0.005493783918750773,-2.094466152667888,0.03621847517207565,885,3,0.008395274071395953,bge,idiom FE | farthing_idiom_fe
well_covered_idiom_fe,-0.0034052261898641386,0.0027065637507641934,-1.2581363320567192,0.20834245573984178,1941,7,0.13947167966508844,bge,idiom FE | well_covered_idiom_fe
placebo_penny_logrv,-0.010169390276342673,0.002394661663532074,-4.246691894396072,2.1694997384205244e-05,2103,10,0.00860441537930523,bge,"placebo idioms, penny log_rv assigned"
all_treatment,-0.0007130851477524053,0.000743645757751356,-0.9589043443327636,0.33760693602760095,2183,16,0.0003567643656829933,macberth,no FE | all_treatment
well_covered,0.0013725659316808194,0.0009373292946660322,1.464336961931677,0.1431019027617854,1941,7,0.0010822161240028327,macberth,no FE | well_covered
farthing_only,-0.00968259824848475,0.0028532306992165167,-3.393556031464103,0.0006899144299805723,885,3,0.012764073606949977,macberth,no FE | farthing_only
farthing_idiom_fe,-0.0008693641760602775,0.0006728311440398381,-1.2920985952588466,0.19632300232380429,885,3,0.9391297433799638,macberth,idiom FE | farthing_idiom_fe
well_covered_idiom_fe,-0.0002465166168716731,0.0003225143703395393,-0.7643585512550753,0.44465360197342196,1941,7,0.9722566901911956,macberth,idiom FE | well_covered_idiom_fe
placebo_penny_logrv,0.00021524127373917715,0.0006600113511159326,0.32611753324431764,0.7443354319612292,2103,10,7.377046605172577e-05,macberth,"placebo idioms, penny log_rv assigned"
