group,idiom,count
placebo,the last straw,1476
treatment,a pretty penny,439
treatment,uttermost farthing,431
placebo,lame duck,371
placebo,hot potato,361
treatment,brass farthing,360
treatment,penny for your thoughts,268
treatment,penny dreadful,194
treatment,turn an honest penny,157
treatment,not worth a farthing,109
treatment,not a penny more,106
placebo,beat around the bush,65
treatment,not worth a penny,64
placebo,a bitter pill to swallow,53
placebo,cut corners,43
treatment,in for a penny in for a pound,36
placebo,turn a blind eye,28
treatment,shilling a dozen,28
placebo,water under the bridge,25
treatment,penny packets,23
treatment,ten a penny,18
treatment,penny-pinching,12
placebo,bite the bullet,6
treatment,look after the pennies,4
treatment,pennies in the pound,3
placebo,back to square one,1
