idiom,output_slope,output_slope_se,baseline_score,output_slope_normalised,denominations,active_from,first_attested
not a penny more,-1.2164080325916888e-05,4.076487913404413e-08,0.13397775069487008,-9.0791793882405e-05,penny,1200,1870.0
a pretty penny,-8.792614782317188e-06,1.1865465871494433e-07,0.23387829510118122,-3.759483015947802e-05,penny,1200,1750.0
penny for your thoughts,-4.645396502201666e-06,7.57587439471345e-08,0.14452495042417504,-3.214252271713368e-05,penny,1200,1522.0
uttermost farthing,-1.514525021627012e-06,1.0130932717734896e-07,0.165974893614626,-9.125024807327543e-06,farthing,1250,1526.0
penny wise pound foolish,5.3044626006457394e-06,8.033593999049119e-08,-0.15700615550266273,3.378506137968444e-05,"penny,pound",1200,1605.0
not worth a farthing,6.512240439285207e-06,2.0090272417021756e-08,-0.07017811160916346,9.279589162434624e-05,farthing,1250,1300.0
not have two pennies to rub together,9.448287961737092e-06,2.6231089606157526e-08,-0.09501534182034405,9.943960397050414e-05,penny,1200,1880.0
not worth a penny,9.953771371303403e-06,5.0130861635446406e-08,-0.1331028717983773,7.478254403392033e-05,penny,1200,
in for a penny in for a pound,1.3388608986526673e-05,1.0273478967375357e-07,-0.23287886591271606,5.7491730449875935e-05,"penny,pound",1200,1695.0
penny dreadful,1.3752036473019637e-05,1.3492697567825387e-07,-0.27055591438027177,5.0828814829347525e-05,penny,1200,1850.0
pennies in the pound,1.3918422358733218e-05,1.2214103238666974e-07,-0.27699776788222785,5.024741702846849e-05,"penny,pound",1200,
shilling a dozen,1.5811346556782903e-05,4.5913339300832646e-08,-0.007544878543241672,0.0020956396403419807,shilling,1504,1850.0
ten a penny,1.588204031664046e-05,4.5536071703154466e-08,-0.008500475896785889,0.0018683707252961695,penny,1200,1850.0
look after the pennies,1.792238156711278e-05,1.215520669383614e-07,-0.311005763693014,5.7627168558855115e-05,penny,1200,1750.0
brass farthing,2.6333746318660077e-05,1.3484687777065466e-07,-0.3360140247660226,7.837097376217292e-05,farthing,1250,1650.0
