layer,series,rho,p,n
0,archaeological_cultures,,,105
0,art_periods,,,121
0,chinese_dynasties,,,117
0,chinese_emperors,,,85
0,english_monarchs,,,46
0,japanese_nengo,,,56
0,literary_periods,,,121
0,music_periods,,,119
0,popes,,,80
0,roman_consuls,,,42
1,archaeological_cultures,0.18800625572808993,0.054782992944132504,105
1,art_periods,0.07360119873063221,0.4223803951126241,121
1,chinese_dynasties,0.11271569082900325,0.2262878752946344,117
1,chinese_emperors,0.17663555989227198,0.10585019525520888,85
1,english_monarchs,-0.30457449546234505,0.03958478981472086,46
1,japanese_nengo,-0.30784742706417534,0.020992188264122132,56
1,literary_periods,0.09019902873675122,0.3251658180520534,121
1,music_periods,0.14131417174138816,0.12527886965280186,119
1,popes,0.048054665112552276,0.6720807374997176,80
1,roman_consuls,0.1678146017340572,0.28810044454188966,42
2,archaeological_cultures,0.47147317278211287,3.8438196099689814e-07,105
2,art_periods,0.4636794147781372,8.503057299348263e-08,121
2,chinese_dynasties,0.43463332678029015,9.759023045294292e-07,117
2,chinese_emperors,-0.12875360351519008,0.24024720810142713,85
2,english_monarchs,0.07952127296960965,0.5993539708135025,46
2,japanese_nengo,-0.1769772374084934,0.19194962478367064,56
2,literary_periods,0.46261070695036055,9.184920986200609e-08,121
2,music_periods,0.28782779356984417,0.0015028132050677774,119
2,popes,-0.340613810447776,0.001990796926072204,80
2,roman_consuls,0.6458957945061179,3.848143312313598e-06,42
3,archaeological_cultures,0.7767823439571695,2.0757381045869546e-22,105
3,art_periods,0.8200695199638601,1.2636861560955735e-30,121
3,chinese_dynasties,0.822937623153512,5.190018878438737e-30,117
3,chinese_emperors,0.6592465928619294,6.889721329909237e-12,85
3,english_monarchs,0.48409885879947784,0.0006525894898828901,46
3,japanese_nengo,0.44610021295010727,0.0005691459608880225,56
3,literary_periods,0.8196550425391643,1.4302914073893238e-30,121
3,music_periods,0.751840482590007,6.671464729414146e-23,119
3,popes,0.5330668838985341,3.5708840666658467e-07,80
3,roman_consuls,0.7575561137671177,6.33592882215367e-09,42
4,archaeological_cultures,0.8331282015959224,3.013727360035112e-28,105
4,art_periods,0.8499873833137356,6.43603664781475e-35,121
4,chinese_dynasties,0.8453845868805825,4.2087606303168984e-33,117
4,chinese_emperors,0.6955293896023591,1.5024031339660202e-13,85
4,english_monarchs,0.21364016159329577,0.15397783476597823,46
4,japanese_nengo,0.5265226616990808,3.06933527637156e-05,56
4,literary_periods,0.8482589617945796,1.2060270194374832e-34,121
4,music_periods,0.7550060301430159,3.484552067147632e-23,119
4,popes,0.5994174837039387,4.2370770796422835e-09,80
4,roman_consuls,0.7703589660481323,2.437197724087987e-09,42
5,archaeological_cultures,0.7785925901429307,1.434974441481311e-22,105
5,art_periods,0.7171980453606671,2.1842641172546662e-20,121
5,chinese_dynasties,0.7478727223617808,3.3993487621867174e-22,117
5,chinese_emperors,0.5194117365851861,3.5140524634911115e-07,85
5,english_monarchs,0.042320863659544,0.7800454312713543,46
5,japanese_nengo,0.25230706190604446,0.060657418564464764,56
5,literary_periods,0.7163995497678038,2.5154380458095266e-20,121
5,music_periods,0.6165056784487468,8.37304893560131e-14,119
5,popes,0.3216029161032492,0.003626622773959355,80
5,roman_consuls,0.7677659833076736,2.971946470192765e-09,42
6,archaeological_cultures,0.8123907682129036,7.164036762849836e-26,105
6,art_periods,0.7757792832300178,1.4963163134754213e-25,121
6,chinese_dynasties,0.8088721114892189,2.7410230397210563e-28,117
6,chinese_emperors,0.6575853821304797,8.106624852063098e-12,85
6,english_monarchs,0.05083439016831525,0.7372447569188555,46
6,japanese_nengo,0.2982090375413489,0.02559385731381875,56
6,literary_periods,0.7767984397436263,1.1791614372133963e-25,121
6,music_periods,0.7016963742503147,6.183147325402676e-19,119
6,popes,0.4791284524722011,6.920240470519458e-06,80
6,roman_consuls,0.7253058909326635,5.5347827054208165e-08,42
7,archaeological_cultures,0.7822805128881349,6.691106122012682e-23,105
7,art_periods,0.6867139667819352,3.4673781401465163e-18,121
7,chinese_dynasties,0.7364632782046069,3.016861006819171e-21,117
7,chinese_emperors,0.5448868917433602,6.991671511366902e-08,85
7,english_monarchs,0.08680095505681985,0.5662416233623148,46
7,japanese_nengo,0.2747624587730549,0.040424320839523235,56
7,literary_periods,0.6872790811804623,3.1743740074809107e-18,121
7,music_periods,0.5892697354926651,1.7910986957796855e-12,119
7,popes,0.36032794379394995,0.0010264412251056157,80
7,roman_consuls,0.7332469005753182,3.340774505357605e-08,42
8,archaeological_cultures,0.7771143088737561,1.94036659871383e-22,105
8,art_periods,0.6498794623130947,7.328157414563567e-16,121
8,chinese_dynasties,0.7047407406796894,7.516052854821521e-19,117
8,chinese_emperors,0.47598573369952246,4.141451573069423e-06,85
8,english_monarchs,-0.06409821770009652,0.6721443930404547,46
8,japanese_nengo,0.1635450137117885,0.2284409843079382,56
8,literary_periods,0.6483951505495411,8.953865953167696e-16,121
8,music_periods,0.5442180297382482,1.5834677382528192e-10,119
8,popes,0.24173840681619282,0.030749879864254186,80
8,roman_consuls,0.748318612754234,1.21828878991364e-08,42
9,archaeological_cultures,0.6791172281070286,1.6839435202161006e-15,105
9,art_periods,0.5285025822063182,4.6477654928038896e-10,121
9,chinese_dynasties,0.5864048560873896,3.737008251816276e-12,117
9,chinese_emperors,0.4160648854333457,7.486703043467754e-05,85
9,english_monarchs,-0.028193345032669986,0.8524517719996727,46
9,japanese_nengo,0.19820220157046217,0.14310436818780375,56
9,literary_periods,0.5271997635463477,5.218270525095608e-10,121
9,music_periods,0.4325101384926343,9.006325606135199e-07,119
9,popes,0.2148746769532734,0.05561094493862221,80
9,roman_consuls,0.5807471031520948,5.527627788629394e-05,42
10,archaeological_cultures,0.6846309578934592,8.102480212663796e-16,105
10,art_periods,0.6361241618132709,4.501575585683942e-15,121
10,chinese_dynasties,0.6654670069888452,2.732307210831215e-16,117
10,chinese_emperors,0.5421116926390558,8.390837173118002e-08,85
10,english_monarchs,0.007649835413678507,0.9597585850447335,46
10,japanese_nengo,0.28217923368955605,0.03511445245302384,56
10,literary_periods,0.6359232028642168,4.619441519881039e-15,121
10,music_periods,0.568131677013696,1.5960656341524554e-11,119
10,popes,0.3992756638351722,0.0002436352423260193,80
10,roman_consuls,0.5154363503767928,0.0004772128824832304,42
11,archaeological_cultures,0.6523940523218077,4.713932551437969e-14,105
11,art_periods,0.5636859081335235,1.677920903169612e-11,121
11,chinese_dynasties,0.624630438668635,5.238235983468302e-14,117
11,chinese_emperors,0.5709385847436255,1.1605570933995597e-08,85
11,english_monarchs,-0.04923039242028589,0.7452530947741329,46
11,japanese_nengo,0.22944152080402008,0.08893682137189965,56
11,literary_periods,0.5631747058343158,1.7658565453836626e-11,121
11,music_periods,0.5286426182274288,6.422351770145764e-10,119
11,popes,0.41489929032176537,0.00012994771776197943,80
11,roman_consuls,0.4363503767928045,0.0038662299156734616,42
12,archaeological_cultures,0.7883025639530886,1.863606277285796e-23,105
12,art_periods,0.6156047931603418,5.734339588040462e-14,121
12,chinese_dynasties,0.6833494416902436,2.09049848001582e-17,117
12,chinese_emperors,0.49764987600319405,1.2621454056334424e-06,85
12,english_monarchs,-0.1964897241335972,0.1906076383558641,46
12,japanese_nengo,0.05895823378324663,0.6660119682545003,56
12,literary_periods,0.6150709219385629,6.111789730747353e-14,121
12,music_periods,0.5370305546178895,3.048391679629881e-10,119
12,popes,0.2528261417421623,0.02365724713117686,80
12,roman_consuls,0.6935418523620452,3.547467846434363e-07,42
