model,regression_type,y_col,beta_obs,p_permutation,beta_null_mean,beta_null_p95,n_shuffles
bert_L9,permutation_apd,apd,-0.000409,0.520000,-0.000040,0.001129,200
bert_L9,permutation_drift_cosine,drift_cosine,-0.001500,0.000000,-0.000026,0.000869,200
bert_L9,permutation_within_idiom_drift_cosine,drift_cosine,0.000747,0.370000,-0.000016,0.001588,200
bert_L9_span,permutation_apd,apd,0.003929,0.005000,-0.000038,0.002301,200
bert_L9_span,permutation_drift_cosine,drift_cosine,-0.002126,0.015000,-0.000098,0.001736,200
bert_L9_span,permutation_within_idiom_drift_cosine,drift_cosine,0.004430,0.055000,0.000025,0.004538,200
bge,permutation_apd,apd,-0.000091,0.920000,-0.000143,0.001905,200
bge,permutation_drift_cosine,drift_cosine,-0.004966,0.000000,-0.000192,0.002467,200
bge,permutation_within_idiom_drift_cosine,drift_cosine,0.003510,0.245000,0.000090,0.005576,200
bge_span,permutation_apd,apd,-0.001319,0.295000,-0.000128,0.002421,200
bge_span,permutation_drift_cosine,drift_cosine,-0.004442,0.000000,-0.000176,0.002197,200
bge_span,permutation_within_idiom_drift_cosine,drift_cosine,0.004039,0.095000,0.000059,0.005006,200
macberth_L9,permutation_apd,apd,-0.000244,0.155000,-0.000022,0.000348,200
macberth_L9,permutation_drift_cosine,drift_cosine,-0.000522,0.000000,-0.000017,0.000309,200
macberth_L9,permutation_within_idiom_drift_cosine,drift_cosine,0.000703,0.060000,0.000008,0.000729,200
macberth_L9_span,permutation_apd,apd,0.001306,0.170000,-0.000108,0.001807,200
macberth_L9_span,permutation_drift_cosine,drift_cosine,-0.002593,0.000000,-0.000066,0.001282,200
macberth_L9_span,permutation_within_idiom_drift_cosine,drift_cosine,0.004032,0.020000,0.000023,0.003680,200
