model,metric,regression_type,beta,se_nw,t_stat,p_value,n,n_fe_levels,r2,r2_adj
bert_L9,apd,treatment_decade_FE_primary,-0.000409,0.000555,-0.736481,0.461438,66,18.000000,0.540825,0.364971
bert_L9,drift_cosine,treatment_decade_FE_robustness_PRT,-0.001500,0.000325,-4.620845,0.000004,66,18.000000,0.370150,0.128931
bert_L9,drift_cosine,within_idiom_timeseries_drift_cosine,0.000747,0.000780,0.957996,0.338065,66,,,
bert_L9,drift_cosine,cross_sectional_drift_cosine,-0.001740,,-1.230955,0.218340,9,,0.111191,
bert_L9_span,apd,treatment_decade_FE_primary,0.003929,0.001036,3.792878,0.000149,66,18.000000,0.418850,0.196282
bert_L9_span,drift_cosine,treatment_decade_FE_robustness_PRT,-0.002126,0.000830,-2.561394,0.010425,66,18.000000,0.415477,0.191618
bert_L9_span,drift_cosine,within_idiom_timeseries_drift_cosine,0.004430,0.002408,1.839441,0.065850,66,,,
bert_L9_span,drift_cosine,cross_sectional_drift_cosine,-0.002325,,-1.973897,0.048393,9,,0.075013,
bge,apd,treatment_decade_FE_primary,-0.000091,0.000668,-0.135848,0.891942,66,18.000000,0.294819,0.024750
bge,drift_cosine,treatment_decade_FE_robustness_PRT,-0.004966,0.000891,-5.574888,0.000000,66,18.000000,0.492467,0.298093
bge,drift_cosine,within_idiom_timeseries_drift_cosine,0.003510,0.003058,1.147884,0.251016,66,,,
bge,drift_cosine,cross_sectional_drift_cosine,-0.006276,,-1.203825,0.228657,9,,0.151660,
bge_span,apd,treatment_decade_FE_primary,-0.001319,0.000877,-1.504215,0.132526,66,18.000000,0.134167,-0.197428
bge_span,drift_cosine,treatment_decade_FE_robustness_PRT,-0.004442,0.000749,-5.930365,0.000000,66,18.000000,0.457315,0.249478
bge_span,drift_cosine,within_idiom_timeseries_drift_cosine,0.004039,0.002580,1.565644,0.117432,66,,,
bge_span,drift_cosine,cross_sectional_drift_cosine,-0.005340,,-0.875286,0.381418,9,,0.149240,
macberth_L9,apd,treatment_decade_FE_primary,-0.000244,0.000168,-1.450644,0.146879,66,18.000000,0.349400,0.100233
macberth_L9,drift_cosine,treatment_decade_FE_robustness_PRT,-0.000522,0.000117,-4.450646,0.000009,66,18.000000,0.473994,0.272545
macberth_L9,drift_cosine,within_idiom_timeseries_drift_cosine,0.000703,0.000376,1.872242,0.061173,66,,,
macberth_L9,drift_cosine,cross_sectional_drift_cosine,-0.000607,,-1.230623,0.218464,9,,0.166881,
macberth_L9_span,apd,treatment_decade_FE_primary,0.001306,0.001041,1.254530,0.209649,66,18.000000,0.608076,0.457977
macberth_L9_span,drift_cosine,treatment_decade_FE_robustness_PRT,-0.002593,0.000481,-5.387176,0.000000,66,18.000000,0.585247,0.426405
macberth_L9_span,drift_cosine,within_idiom_timeseries_drift_cosine,0.004032,0.001773,2.274214,0.022953,66,,,
macberth_L9_span,drift_cosine,cross_sectional_drift_cosine,-0.002737,,-0.386468,0.699150,9,,0.195368,
